no polarizar,,,polarizer horizontal,,,polarizer vertical,
"Polarization of Light 'Brewsters' Data File Wed, Mar 15, 2023 10:34 AM",,,"Polarization of Light 'Brewsters' Data File Wed, Mar 15, 2023 10:40 AM",,,"Polarization of Light 'Brewsters' Data File Wed, Mar 15, 2023 10:43 AM",
Sensor Position (Degrees),Light Intensity (Volts),,Sensor Position (Degrees),Light Intensity (Volts),,Sensor Position (Degrees),Light Intensity (Volts)
208.15,0.67456,,180.08333,0.68229,,225.6,0.13687
208.5,0.6897,,180.08333,0.71451,,225.88333,0.06744
208.7,0.71902,,180.08333,0.70323,,226.16667,0.11109
208.81667,0.72176,,180.08333,0.69872,,226.41667,0.12753
208.9,0.72933,,180.08333,0.69614,,226.6,0.14412
208.96667,0.7348,,180.08333,0.7042,,226.78333,0.16651
209.01667,0.7319,,180.08333,0.69647,,226.96667,0.21
209.11667,0.72611,,180.08333,0.69824,,227.15,0.21129
209.33333,0.71902,,180.08333,0.70178,,227.33333,0.23722
209.58333,0.71354,,180.08333,0.69147,,227.55,0.2485
209.73333,0.70371,,180.08333,0.76509,,227.78333,0.26122
209.81667,0.70565,,180.08333,0.7886,,228.03333,0.26525
209.86667,0.70339,,180.08333,0.79038,,228.28333,0.25091
209.93333,0.70581,,180.08333,0.83371,,228.43333,0.22981
209.98333,0.70194,,180.08333,1.10497,,228.53333,0.21016
210.06667,0.70243,,180.08333,1.08806,,228.65,0.17408
210.15,0.69292,,180.08333,0.25285,,228.78333,0.14025
210.26667,0.6802,,180.08333,0.17553,,228.95,0.1206
210.4,0.66876,,180.08333,0.24044,,229.1,0.15346
210.55,0.65652,,180.08333,0.55471,,229.26667,0.17392
210.68333,0.63284,,180.08333,0.97804,,229.45,0.20307
210.81667,0.59643,,180.08333,1.07565,,229.61667,0.20952
210.95,0.5668,,180.08333,1.10062,,229.73333,0.22127
211.1,0.57936,,180.08333,1.09869,,229.81667,0.22836
211.26667,0.57968,,180.08333,1.08693,,229.93333,0.23384
211.45,0.54698,,180.08333,1.09337,,230.08333,0.24222
211.65,0.61464,,180.08333,1.10433,,230.23333,0.24222
211.76667,0.62317,,180.08333,1.1512,,230.36667,0.25156
211.88333,0.62817,,180.08333,1.03409,,230.46667,0.24511
212,0.62124,,180.08333,0.72466,,230.58333,0.24334
212.1,0.61045,,180.08333,0.67102,,230.71667,0.23658
212.18333,0.61238,,180.08333,0.98319,,230.86667,0.22675
212.3,0.59917,,180.08333,1.13928,,231.06667,0.22595
212.41667,0.59756,,180.08333,0.62462,,231.26667,0.23481
212.61667,0.61963,,180.08333,0.62317,,231.43333,0.24818
212.8,0.62076,,180.08333,0.76476,,231.53333,0.24399
212.93333,0.62881,,180.08333,1.06615,,231.6,0.24447
213.05,0.61528,,180.08333,1.0589,,231.63333,0.24528
213.15,0.61882,,180.08333,1.03989,,231.63333,0.24157
213.21667,0.61931,,180.08333,1.1003,,231.61667,0.24415
213.3,0.60997,,180.08333,1.02652,,231.61667,0.24511
213.41667,0.60239,,180.08333,0.92746,,231.61667,0.24415
213.55,0.59402,,180.08333,0.87913,,231.61667,0.24624
213.7,0.5858,,180.08333,0.88976,,231.61667,0.24334
213.85,0.57549,,180.1,0.89685,,231.6,0.24479
214,0.55278,,180.1,0.9033,,231.6,0.24834
214.13333,0.54247,,180.1,0.91312,,231.61667,0.2427
214.23333,0.54972,,180.1,0.92295,,231.61667,0.24673
214.33333,0.57662,,180.1,0.99125,,231.61667,0.24818
214.45,0.58484,,180.1,0.99721,,231.61667,0.2435
214.56667,0.58919,,180.1,0.98045,,231.61667,0.24898
214.65,0.59225,,180.11667,0.97594,,231.6,0.24447
214.71667,0.58774,,180.13333,0.96998,,231.6,0.24576
214.75,0.58371,,180.18333,0.92182,,231.6,0.24495
